"","language","glottocode","family","area","longitude","latitude","Rec.P","RecRef.I","RecRef.D","ContentQInitial","ContentQNonInitial","NumNoun","NounNum","DegWordAdj","AdjDegWord","GenN","NGen","AdjNoun","NounAdj","PossAff.P","PossPre","PossSuff","ComInst","NPconj","NVconj","DefArt","IndefArt","PronomS","IndefPron","PronDem","DemDis","PronAdnDem","IntRef","GenPron","Gender","Gender.n","NegMorph","NPlural","OrdNum","DistNum","AdpN","DemN","NegV","OXV","RelN","Passive","Optative","Prohibitive","Imperative","AdpPM","PolarQ","PossClass","PossLocus","Reduplication","Future","Past","Aspect","Vper","SOV","Head.driven.agr","Juxtaposition","Governed","Cons.state","agr.class","mixed","Agr.Gender","Agr.Number","Agr.State","Agr.Case","Agr.Def","Agr.none","NPHeadlessness","ClausePosition","NumClass.n","Alignment","VInflCat"
"41","Awa-Cuaiquer","awac1239",NA,"0",-78.25,1.5,NA,NA,NA,"FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE",NA,NA,NA,NA,NA,"No definite or indefinite article","No definite or indefinite article","Subject affixes on verb","Interrogativebased","Related for nonhuman reference",NA,NA,"Differentiated","No gender distinctions","No gender","None","Double negation","Plural suffix","None",NA,"Postpositions","DemonstrativeNoun","ObligDoubleNeg","XOV",NA,"Absent","Inflectional optative absent","Special imperative  special negative","Second singular and second plural","No person marking","Final","No possessive classification","Dependent marking","No productive reduplication","Inflectional future exists","Present no remoteness distinctions","Grammatical marking","A or P argument","SOV","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SvAtrxP",NA
"42","Bagirmi","bagi1246",NA,"0",16,11.6666666667,"TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE",NA,NA,"FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","Differentiation",NA,"Differentiation","Definite word distinct from demonstrative","No indefinite but definite article",NA,"Genericnounbased","Unrelated",NA,NA,"Identical","No gender distinctions","No gender","None","Negative particle","Plural clitic",NA,NA,"Prepositions","NounDemonstrative","VNeg","VOX","NounRelative clause","Absent","Inflectional optative absent","Normal imperative  normal negative","No secondperson imperatives","Pronouns only","Final","No possessive classification","No marking","Full reduplication only","No inflectional future","No past tense","Grammatical marking","Both the A and P arguments","SVO","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"mixed","7"
"43","Barasana-Eduria","bara1380",NA,"0",-70.6666666667,-0.166666666667,NA,NA,NA,"TRUE","FALSE","TRUE","FALSE",NA,NA,"TRUE","FALSE","TRUE","TRUE","TRUE",NA,NA,"Identity",NA,NA,NA,NA,"Subject affixes on verb",NA,"Related to remote demonstratives","Threeway contrast","Identical",NA,"3rd person singular only","Semantic","Three","Negative affix","Plural suffix","None",NA,"Postpositions","DemonstrativeNoun","VNeg","OXV","NounRelative clause","Absent","Inflectional optative absent","Normal imperative  normal negative","Second person numberneutral","No person marking","No question particle","Two classes","Head marking","No productive reduplication","No inflectional future","Present 23 remoteness distinctions","No grammatical marking","Only the A argument","No dominant order","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SvAtrxP",NA
"44","Basque","basq1248",NA,"0",-3,43,"TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE",NA,NA,"Differentiation","And different from with","Identity","Definite word distinct from demonstrative","Indefinite word same as one","Subject affixes on verb","Interrogativebased","Related for all demonstratives","Threeway contrast","Identical","Differentiated","No gender distinctions","No gender","None","Negative particle","Plural clitic","First twoth threeth","Marked by suffix","Postpositions","NounDemonstrative","NegV","XOV","Relative clauseNoun","Present","Inflectional optative absent","Normal imperative  normal negative","Second singular and second plural","No person marking","Other position","No possessive classification","Dependent marking","Productive full and partial reduplication","Inflectional future exists","Present no remoteness distinctions","Grammatical marking","Both the A and P arguments","SOV","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"0","SvPxAtr",NA
"45","Bukiyip","buki1249","Kombio","0",143.166666667,-3.46666666667,"FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE",NA,NA,"TRUE","TRUE","TRUE","FALSE",NA,NA,NA,"Differentiation",NA,NA,NA,"Indefinite word distinct from one","Subject affixes on verb",NA,"Related to nonremote demonstratives","Twoway contrast","Identical",NA,"3rd person only but also nonsingular","Semantic and formal","Five or more","Negative particle","Plural suffix","None",NA,"Prepositions","DemonstrativeNoun","OptDoubleNeg",NA,NA,"Absent","Inflectional optative absent","Normal imperative  special negative","Second singular and second plural","No adpositions","Final","No possessive classification","Dependent marking","Productive full and partial reduplication","Inflectional future exists","No past tense","No grammatical marking","Both the A and P arguments","SVO","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",NA,NA,NA,NA,NA,NA,NA,NA,"0","SvAtrvP",NA
"46","Burmese","nucl1310","Lolo-Burmese","0",96,21,"FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE",NA,NA,NA,NA,"And identical to with",NA,"No definite or indefinite article","No definite or indefinite article","Optional pronouns in subject position",NA,"Unrelated","Twoway contrast",NA,"Identical","3rd person singular only","No gender","None","Double negation","Plural word","Various","Marked by suffix","Postpositions","DemonstrativeNoun","ObligDoubleNeg","No dominant order","Relative clauseNoun","Absent","Inflectional optative absent","Normal imperative  special negative","No secondperson imperatives","No person marking","No question particle","No possessive classification","Dependent marking","Full reduplication only","No inflectional future","No past tense","No grammatical marking","No person marking","SOV","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SvAtrxP","4"
"47","Burushaski","buru1296",NA,"0",74.5,36.5,"TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","Differentiation","And different from with","Identity","Demonstrative word used as definite article",NA,"Subject affixes on verb","Interrogativebased","Related to remote demonstratives","Twoway contrast","Different inflection","Identical","3rd person singular only","Semantic","Four","Negative affix","Plural suffix","First twoth threeth","Marked by reduplication","Postpositions","DemonstrativeNoun","NegV",NA,"Relative clauseNoun","Present","Inflectional optative absent","Normal imperative  normal negative","Second singular and second plural","Pronouns only","No question particle","Three to five classes","Double marking",NA,"Inflectional future exists","Present no remoteness distinctions","Grammatical marking","Both the A and P arguments","SOV","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,"flexibleadjacent","0",NA,NA
"48","Canela-Krahô","cane1242","Ge","0",-45,-7,NA,NA,NA,"TRUE","FALSE",NA,NA,NA,NA,"TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE",NA,"And identical to with","Differentiation","No definite or indefinite article","No definite or indefinite article",NA,"Interrogativebased","Unrelated","Twoway contrast","Identical","Differentiated","No gender distinctions","No gender","None","Negative particle","No plural","None",NA,"Postpositions","NounDemonstrative","VNeg","XOV","Mixed","Absent",NA,"Normal imperative  normal negative","Second person numberneutral","Pronouns only","Initial","No possessive classification","Dependent marking","Productive full and partial reduplication","No inflectional future","Present 23 remoteness distinctions","No grammatical marking","Only the P argument","SOV","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"49","Central Kanuri","cent2050",NA,"0",13,12,NA,NA,NA,"TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","Differentiation","And identical to with","Differentiation","Definite word distinct from demonstrative","Indefinite word distinct from one","Subject affixes on verb",NA,"Unrelated","Twoway contrast",NA,NA,"No gender distinctions","No gender","None","Negative affix","Plural suffix","Firstoneth twoth threeth",NA,"Postpositions","NounDemonstrative","VNeg","OXV","NounRelative clause","Present","Inflectional optative absent","Special imperative  special negative","Second singular and second plural","No person marking","No question particle","No possessive classification","Dependent marking","Productive full and partial reduplication","Inflectional future exists","Present no remoteness distinctions","Grammatical marking","Both the A and P arguments","SOV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Central Moroccan Berber","cent2194",NA,"0",-5,33,"TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE",NA,NA,"FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","Differentiation","And identical to with","Differentiation",NA,NA,"Subject affixes on verb",NA,"Unrelated",NA,NA,NA,"In 3rd person  1st andor 2nd person","Semantic and formal","Two","Negative particle","Mixed morphological plural","First twoth threeth",NA,"Prepositions","Mixed",NA,"VOX","NounRelative clause","Present","Inflectional optative absent","Special imperative  normal negative","Second singular and second plural","Pronouns only","Initial","Two classes","Dependent marking","Productive full and partial reduplication","No inflectional future","No past tense","Grammatical marking","Both the A and P arguments","VSO","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"7"
"51","Chamorro","cham1312","Malayo-Polynesian","0",144.75,13.45,"TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE",NA,"And identical to with","Identity","Definite word distinct from demonstrative",NA,NA,NA,"Unrelated","Threeway contrast","Identical","Identical","No gender distinctions","No gender","None","Negative particle","Plural word","First twoth threeth","Marked by mixed or other strategies","Prepositions","DemonstrativeNoun","NegV",NA,"NounRelative clause","Present","Inflectional optative absent","Normal imperative  special negative",NA,"Pronouns only","Initial","No possessive classification","Head marking","Productive full and partial reduplication","No inflectional future","No past tense","Grammatical marking","Only the A argument","VSO","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,"6"
"52","Chukchi","chuk1273","Chukotkan","0",-173,67,"TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE",NA,NA,"TRUE","FALSE","TRUE","FALSE","TRUE",NA,NA,"Differentiation","And different from with","Identity","No definite or indefinite article","No definite or indefinite article","Subject affixes on verb","Interrogativebased","Unrelated","Threeway contrast","Identical",NA,"No gender distinctions","No gender","None","Negative particle","Plural suffix","Firstoneth twoth threeth","Marked by mixed or other strategies","Postpositions","DemonstrativeNoun","NegV",NA,"Mixed","Absent","Inflectional optative absent","Special imperative  special negative","No secondperson imperatives","No person marking","No question particle","No possessive classification","No marking","Productive full and partial reduplication","Inflectional future exists","No past tense","Grammatical marking","Both the A and P arguments","No dominant order",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","SvPxAtr","6"
"53","Eastern Armenian","nucl1235","Greek-Armenian","0",45,40,NA,NA,NA,"FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","Differentiation","And different from with",NA,"Definite affix","Indefinite word distinct from one","Subject affixes on verb",NA,"Related to remote demonstratives",NA,NA,"Identical","No gender distinctions","No gender","None","Variation between negative word and affix","Plural suffix","First twoth threeth","Marked by mixed or other strategies","Postpositions","DemonstrativeNoun","Type 1  Type 3","No dominant order","Mixed","Present","Inflectional optative absent","Normal imperative  special negative","Second singular and second plural","No person marking","No question particle","No possessive classification",NA,"Full reduplication only","No inflectional future","Present no remoteness distinctions","Grammatical marking","Only the A argument","No dominant order",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","SvAtrxP","4"
"54","Eastern Oromo","east2652","Eastern Cushitic","0",42,9,"TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE",NA,NA,"Differentiation","And different from with","Differentiation","No definite or indefinite article","No definite or indefinite article","Subject affixes on verb","Genericnounbased","Unrelated","Twoway contrast","Identical","Differentiated","3rd person singular only","Semantic and formal","Two","Double negation","No plural","First twoth threeth",NA,"Postpositions","NounDemonstrative","ObligDoubleNeg","XOV","NounRelative clause","Absent","Inflectional optative absent","Normal imperative  special negative","Second singular and second plural","No person marking","No question particle","Two classes","Other","Productive full and partial reduplication","No inflectional future","Present no remoteness distinctions","Grammatical marking","Only the A argument","SOV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","SvAtrxP","6"
"55","Egyptian Arabic","egyp1253","West Semitic","0",31,30,"TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","Differentiation","And different from with","Identity","Definite affix","No indefinite but definite article","Subject affixes on verb","Genericnounbased","Related by gender markers","Twoway contrast","Identical",NA,"In 3rd person  1st andor 2nd person","Semantic and formal","Two","Negative particle","Mixed morphological plural","First twoth threeth","No distributive numerals","Prepositions","NounDemonstrative","OptDoubleNeg","VOX","NounRelative clause","Present","Inflectional optative absent","Special imperative  normal negative","Second singular and second plural","Pronouns only","Initial","No possessive classification","No marking","Productive full and partial reduplication","Inflectional future exists","Present no remoteness distinctions","Grammatical marking","Both the A and P arguments","SVO","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"0","mixed",NA
"56","English","stan1293","Germanic","0",0,52,"TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE",NA,NA,"Identity","And different from with","Identity","Definite word distinct from demonstrative","Indefinite word distinct from one","Obligatory pronouns in subject position","Genericnounbased","Related for all demonstratives","Twoway contrast","Identical","Identical","3rd person singular only","Semantic","Three","Negative particle","Plural suffix","First second threeth","No distributive numerals","Prepositions","DemonstrativeNoun","NegV","VOX","NounRelative clause","Present","Inflectional optative absent","Normal imperative  normal negative","No secondperson imperatives","No person marking","No question particle","No possessive classification","Dependent marking","No productive reduplication","No inflectional future","Present no remoteness distinctions","No grammatical marking","Only the A argument","SVO","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,"flexibleadjacent","0",NA,"2"
"57","Evenki","even1259","Northern Tungusic","0",125,56,"TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","Differentiation",NA,"Identity","No definite or indefinite article","No definite or indefinite article","Obligatory pronouns in subject position","Interrogativebased","Unrelated","Twoway contrast","Identical","Identical","No gender distinctions","No gender","None","Double negation","Plural suffix","First second threeth","Marked by suffix","Postpositions","DemonstrativeNoun","ObligDoubleNeg",NA,"Relative clauseNoun","Present","Inflectional optative present","Normal imperative  normal negative","Second singular and second plural","Pronouns only","Final","No possessive classification","Double marking","No productive reduplication","Inflectional future exists","Present no remoteness distinctions","Grammatical marking","Only the A argument","SOV","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SvAtrxP","7"
"58","Ewe","ewee1241","Gbe","0",0.416666666667,6.33333333333,NA,NA,NA,"FALSE","TRUE","FALSE","TRUE",NA,NA,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","Identity","And identical to with",NA,"Demonstrative word used as definite article","Indefinite word distinct from one","Subject affixes on verb","Genericnounbased",NA,"Twoway contrast",NA,"Differentiated","No gender distinctions","No gender","None","Double negation","Plural clitic","First twoth threeth",NA,"Postpositions","NounDemonstrative","ObligDoubleNeg",NA,"NounRelative clause","Absent","Inflectional optative absent","Normal imperative  special negative","No secondperson imperatives","Pronouns only","Final","Two classes","Dependent marking","Productive full and partial reduplication","Inflectional future exists","No past tense","No grammatical marking","Both the A and P arguments","SVO","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"0","mixed",NA
"59","Fijian","fiji1243","Malayo-Polynesian","0",178,-17.8333333333,"TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","Differentiation","And identical to with","Differentiation","No definite or indefinite article","No definite or indefinite article","Subject pronouns in different position",NA,"Unrelated","Threeway contrast","Identical","Differentiated","No gender distinctions","No gender","None",NA,NA,"First twoth threeth","Marked by prefix","Prepositions","NounDemonstrative","NegV","No dominant order","NounRelative clause","Present","Inflectional optative absent","Normal imperative  special negative","No secondperson imperatives","Pronouns and nouns","No question particle","No possessive classification","Head marking","Full reduplication only","No inflectional future","Present no remoteness distinctions","No grammatical marking","Both the A and P arguments","No dominant order","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"7"
"60","Finnish","finn1318","Finno-Ugric","0",25,62,"TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","Differentiation","And different from with","Identity","No definite or indefinite article","No definite or indefinite article","Mixed","Special","Unrelated","Twoway contrast","Identical","Identical","No gender distinctions","No gender","None","Negative auxiliary verb","Plural suffix","First second threeth","No distributive numerals","Postpositions","DemonstrativeNoun","NegV","VOX","NounRelative clause","Present","Inflectional optative absent","Normal imperative  special negative","Second singular and second plural","Pronouns only","Second position","No possessive classification","Double marking","No productive reduplication","No inflectional future","Present no remoteness distinctions","No grammatical marking","Only the A argument","SVO","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","OK",NA,"0","SvAtrxP","5"
"61","French","stan1290","Italic-Celtic","0",2,48,"TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE",NA,NA,"Identity","And different from with","Identity","Definite word distinct from demonstrative","Indefinite word same as one","Obligatory pronouns in subject position","Genericnounbased","Related by gender markers","No distance contrast","Different stem","Differentiated","3rd person singular only","Semantic and formal","Two","Negative particle","Plural suffix","First second threeth","No distributive numerals","Prepositions","DemonstrativeNoun","OptDoubleNeg","VOX","NounRelative clause","Present","Inflectional optative absent","Normal imperative  normal negative","Second singular","No person marking","Initial","No possessive classification","Dependent marking","No productive reduplication","Inflectional future exists","Present no remoteness distinctions","Grammatical marking","Only the A argument","SVO","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","OK",NA,"0","SvAtrvP","5"
"62","Georgian","nucl1302","Georgian-Zan","0",44,42,"TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE",NA,NA,"TRUE","FALSE","TRUE","FALSE","TRUE",NA,NA,"Mixed","And different from with","Identity",NA,NA,"Subject pronouns in different position","Interrogativebased","Related to remote demonstratives","Threeway contrast","Different inflection","Identical","No gender distinctions","No gender","None","Negative particle","Plural suffix","First twoth threeth","Marked by reduplication","Postpositions","DemonstrativeNoun","NegV",NA,"NounRelative clause","Present","Inflectional optative present",NA,"No secondperson imperatives","No person marking","No question particle","No possessive classification","Dependent marking","Productive full and partial reduplication","Inflectional future exists","Present no remoteness distinctions","Grammatical marking","Both the A and P arguments","SOV","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"7"
"63","Gooniyandi","goon1238",NA,"0",126.333333333,-18.3333333333,"TRUE","TRUE","FALSE",NA,NA,"TRUE","FALSE",NA,NA,"TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","Differentiation",NA,"Both expressed by juxtaposition","Definite word distinct from demonstrative",NA,"Subject affixes on verb","Interrogativebased","Unrelated","Twoway contrast",NA,"Identical","No gender distinctions","No gender","None","Negative particle","Plural clitic","None","No distributive numerals","Inpositions","DemonstrativeNoun","NegV","No dominant order",NA,"Absent","Inflectional optative absent","Special imperative  normal negative","No secondperson imperatives","No person marking",NA,"Two classes","Dependent marking","Productive full and partial reduplication","Inflectional future exists","Present no remoteness distinctions","No grammatical marking","Both the A and P arguments","No dominant order","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"0","SvPxAtr","6"
"64","Halh Mongolian","halh1238",NA,"0",105,47,"TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","Differentiation","And different from with",NA,"No definite or indefinite article","No definite or indefinite article","Optional pronouns in subject position",NA,"Related for all demonstratives","Twoway contrast","Different inflection","Identical","No gender distinctions","No gender","None","Negative affix","Mixed morphological plural","Firstoneth twoth threeth","Marked by suffix","Postpositions","DemonstrativeNoun","VNeg",NA,"Relative clauseNoun","Present","Inflectional optative present","Normal imperative  special negative","Second person numberneutral","No person marking","Final","No possessive classification","Dependent marking","Productive full and partial reduplication","No inflectional future","Present no remoteness distinctions","No grammatical marking","No person marking","SOV","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"0","SvAtrxP","4"
"65","Hanis","coos1249",NA,"0",-124.166666667,43.5,NA,NA,NA,"TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE",NA,NA,"Mixed","And different from with","Identity","Definite word distinct from demonstrative","No indefinite but definite article","Subject affixes on verb","Interrogativebased",NA,"Twoway contrast",NA,"Differentiated","No gender distinctions","No gender","None","Negative particle","Mixed morphological plural",NA,NA,"Postpositions","DemonstrativeNoun","NegV","No dominant order","NounRelative clause","Present","Inflectional optative absent","Normal imperative  normal negative","Second singular and second plural","No adpositions","Final",NA,"Head marking","Productive full and partial reduplication",NA,NA,NA,"Both the A and P arguments","No dominant order","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"66","Hausa","haus1257","West Chadic","0",7,12,"TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","Identity","And identical to with","Differentiation","Definite word distinct from demonstrative","Indefinite word distinct from one","Subject pronouns in different position","Genericnounbased","Unrelated","Fourway contrast","Identical",NA,"In 3rd person  1st andor 2nd person","Semantic and formal","Two","Negative particle","Plural suffix","First twoth threeth","Marked by reduplication","Prepositions","Mixed","OptDoubleNeg","VOX","NounRelative clause","Present","Inflectional optative absent","Special imperative  special negative","Second singular","Pronouns only","Final","No possessive classification","Dependent marking","Productive full and partial reduplication","No inflectional future","No past tense","No grammatical marking","No person marking","SVO","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"0","SvAtrvP",NA
"67","Hindi","hind1269","Indo-Iranian","0",77,25,"TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE",NA,NA,NA,"Differentiation","And different from with","Identity","No definite or indefinite article","No definite or indefinite article",NA,"Special","Related for all demonstratives",NA,NA,"Identical","No gender distinctions","Semantic and formal","Two","Negative particle","Plural suffix","First twoth threeth","Marked by reduplication","Postpositions","DemonstrativeNoun","NegV",NA,"Correlative","Present","Inflectional optative absent","Normal imperative  special negative","Second singular and second plural","No person marking","Initial","No possessive classification","Dependent marking","Productive full and partial reduplication","Inflectional future exists","Present no remoteness distinctions","Grammatical marking","Only the A argument","SOV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","SvAtrxP","2"
"68","Hixkaryána","hixk1239",NA,"0",-59,-1,"TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","Differentiation","And different from with","Both expressed by juxtaposition","No definite or indefinite article","No definite or indefinite article","Subject affixes on verb",NA,"Related for all demonstratives","Threeway contrast","Identical","Differentiated","3rd person only but also nonsingular","Semantic","Two","Negative affix","Plural word","None","No distributive numerals","Postpositions",NA,"VNeg","OVX","NounRelative clause","Present","Inflectional optative absent","Normal imperative  normal negative","Second singular and second plural","Pronouns only","No question particle","No possessive classification","Head marking","No productive reduplication","No inflectional future","Present 23 remoteness distinctions","Grammatical marking","Both the A and P arguments","OVS","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"0","SvAtrvP",NA
"69","Hokkaido Ainu","ainu1240",NA,"0",143,43,"TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE",NA,NA,"TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","Differentiation","And different from with","Differentiation",NA,NA,"Subject affixes on verb","Interrogativebased","Unrelated","Twoway contrast","Different stem",NA,"No gender distinctions","No gender","None","Negative particle","Plural suffix","None","Marked by following word","Postpositions","DemonstrativeNoun","NegV",NA,"Relative clauseNoun","Present","Inflectional optative absent","Normal imperative  special negative","Second person numberneutral","Pronouns only","Final","No possessive classification","Head marking","Full reduplication only","No inflectional future","No past tense","No grammatical marking","Both the A and P arguments","SOV","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"2","SvAtrvP","6"
"70","Hungarian","hung1274","Finno-Ugric","0",20,47,NA,NA,NA,"FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","Mixed","And different from with","Identity","Definite word distinct from demonstrative","Indefinite word distinct from one","Subject affixes on verb","Interrogativebased","Related for nonhuman reference","Twoway contrast","Identical","Identical","No gender distinctions","No gender","None","Negative particle","Plural suffix","First second threeth","Marked by reduplication","Postpositions","DemonstrativeNoun","NegV",NA,"Mixed","Present","Inflectional optative absent","Normal imperative  special negative","No secondperson imperatives","Pronouns only",NA,"No possessive classification","Head marking","Productive full and partial reduplication","No inflectional future","Present no remoteness distinctions","No grammatical marking","Both the A and P arguments","No dominant order",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","SvAtrxP","6"
"71","Imbabura Highland Quichua","imba1240",NA,"0",-78,0.333333333333,"TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE",NA,NA,"Identity","And different from with","Identity","No definite or indefinite article","No definite or indefinite article","Subject affixes on verb","Interrogativebased","Related for nonhuman reference",NA,NA,NA,"No gender distinctions","No gender","None","Negative particle","Plural suffix","Firstoneth twoth threeth",NA,"Postpositions","DemonstrativeNoun","NegV","XOV","Relative clauseNoun","Present","Inflectional optative absent","Normal imperative  special negative","Second singular and second plural","No person marking","Final","No possessive classification","Dependent marking","Full reduplication only","Inflectional future exists","Present no remoteness distinctions","No grammatical marking","Both the A and P arguments","SOV","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,"flexibleadjacent",NA,"SvAtrxP",NA
